edge_id:int,source_id:int,target_id:int,label_id:int
13369333,437440,6526,48
13369334,437440,6527,49
2618782,437442,6526,48
2618783,437442,6527,49
1135832,441176,257,48
1135833,441176,258,49
1141901,443440,257,48
1141902,443440,52747,49
4682947,443441,257,48
4682948,443441,52747,49
1154647,447678,257,48
1154648,447678,258,49
1168704,453267,257,48
1168705,453267,258,49
15568113,453269,257,48
15568114,453269,258,49
1169121,453448,257,48
1169122,453448,258,49
1170552,453991,257,48
1170553,453991,258,49
1180450,457943,257,48
1180451,457943,9854,49
1203131,465872,257,48
1203132,465872,258,49
1203133,465872,221261,49
1203152,465880,257,48
1203153,465880,258,49
2338711,465881,257,48
2338712,465881,258,49
2338713,465881,221261,49
7678934,465882,257,48
7678935,465882,258,49
7678936,465882,221261,49
7295822,465883,257,48
7295823,465883,258,49
7295824,465883,221261,49
1204951,466443,257,48
1204952,466443,258,49
1204953,466443,6980,49
1210882,468358,257,48
1210883,468358,52747,49
1212270,468857,949,48
16785378,468858,949,48
5722198,479994,257,48
5722199,479994,65859,49
1265560,487336,949,48
1265565,487336,44390,48
1289801,495370,257,48
1289802,495370,9854,49
1295086,497345,949,48
1295221,497389,2632,49
1295227,497389,2634,48
5045231,497390,2632,49
5045234,497390,2634,48
1443175,497391,2632,49
1443179,497391,2634,48
1298123,498311,56958,48
2078537,498312,2632,49
2078540,498312,2634,48
8887132,499042,257,48
8887133,499042,34420,49
1319277,506266,257,48
1319278,506266,258,49
1322695,507302,257,48
1322696,507302,258,49
1326747,508626,257,48
1326748,508626,9854,49
1331110,510196,257,48
1331111,510196,34420,49
6160037,510198,257,48
6160038,510198,34420,49
4345736,510200,257,48
4345737,510200,34420,49
1337839,512460,46509,48
1342476,513902,257,48
1342477,513902,258,49
1350940,516617,257,48
1350941,516617,2193,49
1350942,516617,5445,49
1356990,518734,949,48
7264498,518735,949,48
1371595,522817,257,48
1371596,522817,258,49
1378847,524053,257,48
1378848,524053,258,49
1378849,524053,221261,49
5258791,524054,257,48
5258792,524054,258,49
5258793,524054,221261,49
9621208,524055,257,48
9621209,524055,258,49
9621210,524055,221261,49
7718533,524056,257,48
7718534,524056,258,49
7718535,524056,221261,49
8367132,524231,257,48
8367133,524231,258,49
1381021,525265,257,48
1381023,525265,34420,49
