edge_id:int64,source_id:int64,target_id:int64,label_id:int,graph_id:int
1,1,0,51,414
2,1,2,50,414
3,2,3,48,414
4,2,4,50,414
1,1,0,51,415
2,1,2,50,415
3,2,3,48,415
4,2,4,50,415
1,1,0,51,416
2,1,2,50,416
3,2,3,48,416
4,2,4,50,416
1,1,0,51,417
2,1,2,50,417
3,2,3,48,417
4,2,4,50,417
3,0,3,48,418
4,0,4,48,418
1,1,0,49,418
2,2,1,50,418
3,0,3,48,419
4,0,4,48,419
1,1,0,49,419
2,2,1,50,419
3,0,3,48,420
4,0,4,48,420
1,1,0,49,420
2,2,1,50,420
3,0,3,48,421
4,0,4,48,421
1,1,0,49,421
2,2,1,50,421
3,0,3,48,422
4,0,4,48,422
1,1,0,49,422
2,2,1,50,422
3,0,3,48,423
4,0,4,48,423
1,1,0,49,423
2,2,1,50,423
3,0,3,48,424
4,0,4,48,424
1,1,0,49,424
2,2,1,50,424
3,0,3,48,425
4,0,4,48,425
1,1,0,49,425
2,2,1,50,425
3,0,3,48,426
4,0,4,48,426
1,1,0,49,426
2,2,1,50,426
1,1,0,49,427
2,1,2,49,427
3,3,1,52,427
4,3,4,48,427
1,1,0,49,428
2,1,2,49,428
3,3,1,52,428
4,3,4,48,428
1,1,0,49,429
2,1,2,49,429
3,3,1,52,429
4,3,4,48,429
1,1,0,49,430
2,1,2,49,430
3,3,1,52,430
4,3,4,48,430
1,1,0,49,431
2,1,2,49,431
3,3,1,52,431
4,3,4,48,431
1,1,0,49,432
2,1,2,49,432
3,3,1,52,432
4,3,4,48,432
1,1,0,49,433
2,1,2,49,433
3,3,1,52,433
4,3,4,48,433
1,1,0,49,434
2,1,2,49,434
3,3,1,52,434
4,3,4,48,434
1,1,0,49,435
2,1,2,49,435
3,3,1,52,435
4,3,4,48,435
1,1,0,49,436
2,1,2,49,436
3,3,1,52,436
4,3,4,48,436
1,1,0,49,437
2,1,2,49,437
3,3,1,52,437
4,3,4,48,437
1,1,0,48,438
2,1,2,48,438
