type,x_id,x_attr,y_id,y_attr,edge_label,c,gar_id
Edge,3,,0,,48,,680
Edge,3,,0,,48,,681
Edge,3,,0,,48,,682
Edge,3,,0,,49,,683
Edge,3,,0,,49,,684
Edge,3,,0,,49,,685
Edge,3,,0,,49,,686
Edge,3,,0,,49,,687
Edge,3,,0,,49,,688
Edge,3,,0,,49,,689
Edge,3,,0,,49,,690
Edge,3,,0,,49,,691
Edge,3,,0,,49,,692
Edge,3,,0,,49,,693
Edge,1,,3,,48,,694
Edge,1,,3,,48,,695
Edge,1,,3,,48,,696
Edge,1,,3,,48,,697
Edge,1,,3,,48,,698
Edge,1,,3,,48,,699
Edge,1,,3,,48,,700
Edge,1,,3,,48,,701
Edge,1,,3,,48,,702
Edge,1,,3,,48,,703
Edge,1,,3,,48,,704
Edge,2,,0,,49,,705
Edge,2,,0,,49,,706
Edge,2,,0,,49,,707
Edge,2,,0,,49,,708
Edge,2,,0,,49,,709
Edge,2,,0,,49,,710
Edge,2,,0,,49,,711
Edge,2,,0,,49,,712
Edge,2,,0,,49,,713
Edge,2,,0,,49,,714
Edge,2,,0,,49,,715
Edge,2,,0,,49,,716
Edge,2,,0,,49,,717
Edge,2,,0,,49,,718
Edge,2,,0,,49,,719
Edge,2,,0,,49,,720
Edge,2,,0,,49,,721
Edge,2,,0,,49,,722
Edge,2,,0,,49,,723
Edge,2,,0,,49,,724
Edge,2,,0,,49,,725
Edge,2,,4,,48,,726
Edge,2,,4,,48,,727
Edge,2,,4,,48,,728
Edge,2,,4,,48,,729
Edge,2,,4,,48,,730
Edge,2,,4,,48,,731
Edge,2,,4,,48,,732
Edge,2,,4,,48,,733
Edge,2,,4,,48,,734
Edge,2,,4,,48,,735
Edge,3,,0,,49,,736
Edge,3,,0,,49,,737
Edge,3,,0,,49,,738
Edge,3,,0,,49,,739
Edge,3,,0,,49,,740
Edge,3,,0,,49,,741
Edge,3,,0,,49,,742
Edge,3,,0,,49,,743
Edge,3,,0,,49,,744
Edge,3,,0,,49,,745
Edge,3,,0,,49,,746
Edge,2,,0,,49,,747
Edge,2,,0,,49,,748
Edge,2,,0,,49,,749
Edge,2,,0,,49,,750
Edge,2,,0,,49,,751
Edge,2,,0,,49,,752
Edge,2,,0,,49,,753
Edge,2,,0,,49,,754
Edge,2,,3,,48,,755
Edge,2,,3,,48,,756
Edge,2,,3,,48,,757
Edge,2,,3,,48,,758
Edge,2,,3,,48,,759
Edge,2,,3,,48,,760
Edge,2,,3,,48,,761
Edge,2,,3,,48,,762
Edge,3,,0,,49,,763
Edge,3,,0,,49,,764
Edge,3,,0,,49,,765
Edge,3,,0,,49,,766
Edge,3,,0,,49,,767
Edge,3,,0,,49,,768
Edge,3,,0,,49,,769
Edge,3,,0,,49,,770
Edge,3,,0,,49,,771
Edge,3,,0,,49,,772
