edge_id:int,source_id:int,target_id:int,label_id:int,inc_state:int
827671,331222,258,49,1
835006,333759,257,48,1
835007,333759,52747,49,1
3861900,333760,257,48,1
3861901,333760,52747,49,1
843786,336962,257,48,1
843787,336962,258,49,1
859272,342575,949,48,1
2859854,342576,949,48,1
6386146,342577,949,48,1
6685747,342578,949,48,1
6685742,342579,949,48,1
6441202,342580,949,48,1
3450719,342988,257,48,1
3450720,342988,258,49,1
862570,343830,257,48,1
862571,343830,52747,49,1
863873,344278,257,48,1
863874,344278,258,49,2
13695935,349162,257,48,1
13695936,349162,258,49,1
877675,349479,257,48,1
877677,349479,9854,49,1
877676,349479,9855,48,1
885879,352117,257,48,1
885880,352117,258,49,1
899404,356926,257,48,1
899405,356926,258,49,1
900238,357200,257,48,1
900239,357200,258,49,1
900240,357200,6980,49,2
902124,357817,56958,48,1
902125,357817,2632,49,1
6864990,357818,56958,48,1
6864991,357818,2632,49,1
917353,362992,257,48,1
917354,362992,258,49,1
918115,363312,257,48,2
918116,363312,258,49,1
3671808,363391,257,48,1
3671809,363391,258,49,1
3596797,366959,257,48,1
3596798,366959,258,49,1
3596799,366959,6980,49,1
959538,377749,257,48,1
959539,377749,258,49,1
963805,379185,949,48,1
6385064,379186,949,48,1
2698698,379187,949,48,1
2698720,379188,949,48,1
968774,380912,949,48,1
975855,383384,257,48,1
975856,383384,258,49,1
11968238,384859,257,48,1
11725492,385015,257,48,1
11725493,385015,9854,49,1
1041835,406197,257,48,1
1041836,406197,258,49,1
1073062,417028,257,48,1
1073063,417028,2193,49,1
5632898,417029,257,48,1
5632899,417029,2193,49,0
5632900,417029,101021,49,1
5633603,417030,257,48,2
5633604,417030,2193,49,1
5633605,417030,101021,49,1
1863563,418480,6526,48,1
1082686,420584,257,48,1
1082688,420584,9854,49,1
1082687,420584,9855,48,1
1084639,421216,257,48,1
1084640,421216,9854,49,1
1089628,422914,257,48,2
1089629,422914,258,49,1
1100082,426510,257,48,1
1100083,426510,258,49,1
15523218,427017,257,48,1
15523219,427017,258,49,2
15523220,427017,6980,49,1
1106844,428798,46509,48,1
1125878,437222,257,48,1
1125879,437222,258,49,1
1125880,437222,6980,49,1
1126521,437439,6526,48,1
1126522,437439,6527,49,1
13369333,437440,6526,48,1
13369334,437440,6527,49,1
2618782,437442,6526,48,2
2618783,437442,6527,49,1
1135832,441176,257,48,1
1135833,441176,258,49,1
1141901,443440,257,48,1
1141902,443440,52747,49,1
4682947,443441,257,48,2
4682948,443441,52747,49,1
1154647,447678,257,48,0
1154648,447678,258,49,1
1168704,453267,257,48,1
1168705,453267,258,49,1
15568113,453269,257,48,1
15568114,453269,258,49,0
1169121,453448,257,48,1
1169122,453448,258,49,2
1170552,453991,257,48,1
1170553,453991,258,49,1
1180450,457943,257,48,1
1180451,457943,9854,49,1
1203131,465872,257,48,1
1203132,465872,258,49,1
1203133,465872,221261,49,1
1203152,465880,257,48,1
1203153,465880,258,49,1
2338711,465881,257,48,1
2338712,465881,258,49,1
2338713,465881,221261,49,0
7678934,465882,257,48,1
7678935,465882,258,49,1
7678936,465882,221261,49,1
7295822,465883,257,48,1
7295823,465883,258,49,1
7295824,465883,221261,49,1
1204951,466443,257,48,1
1204952,466443,258,49,1
1204953,466443,6980,49,1
1210882,468358,257,48,2
1210883,468358,52747,49,1
1212270,468857,949,48,1
16785378,468858,949,48,1
5722198,479994,257,48,1
5722199,479994,65859,49,1
1265560,487336,949,48,1
1265565,487336,44390,48,2
1289801,495370,257,48,1
1289802,495370,9854,49,1
1295086,497345,949,48,1
1295221,497389,2632,49,1
1295227,497389,2634,48,1
5045231,497390,2632,49,1
5045234,497390,2634,48,1
1443175,497391,2632,49,1
1443179,497391,2634,48,0
1298123,498311,56958,48,2
2078537,498312,2632,49,2
2078540,498312,2634,48,1
8887132,499042,257,48,1
8887133,499042,34420,49,1
1319277,506266,257,48,1
1319278,506266,258,49,1
1322695,507302,257,48,1
1322696,507302,258,49,1
1326747,508626,257,48,1
1326748,508626,9854,49,1
1331110,510196,257,48,1
1331111,510196,34420,49,1
6160037,510198,257,48,1
6160038,510198,34420,49,1
4345736,510200,257,48,1
4345737,510200,34420,49,1
1337839,512460,46509,48,1
1342476,513902,257,48,1
1342477,513902,258,49,0
1350940,516617,257,48,1
1350941,516617,2193,49,1
1350942,516617,5445,49,1
1356990,518734,949,48,1
7264498,518735,949,48,1
1371595,522817,257,48,1
1371596,522817,258,49,0
1378847,524053,257,48,1
1378848,524053,258,49,1
1378849,524053,221261,49,1
5258791,524054,257,48,1
5258792,524054,258,49,1
5258793,524054,221261,49,1
9621208,524055,257,48,1
9621209,524055,258,49,1
9621210,524055,221261,49,1
7718533,524056,257,48,1
7718534,524056,258,49,1
7718535,524056,221261,49,1
8367132,524231,257,48,1
8367133,524231,258,49,1
1381021,525265,257,48,2
1381023,525265,34420,49,1
1381022,525265,9855,48,1
1574061,525268,257,48,1
1574062,525268,34420,49,1
1382329,525785,257,48,1
1382330,525785,52747,49,1
9220703,525786,257,48,1
9220705,525786,52747,49,1
